hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10
0.000000000000000000e+00,4.381687709453837010e-01,4.874626030314845315e-01,3.229674930822475365e-01,3.619454450645091526e-01,3.289142313511953519e-01,5.106385920315470450e-01,4.006241624138870971e-01,4.865101132149882157e-01,2.483317836993402250e-01,3.242418697207323230e-01
2.792457162322790898e-02,-3.698344872441424180e-01,-5.267183994041007011e-01,-3.977321586971501732e-01,-3.880530248636649415e-01,-4.374904436712672706e-01,-4.567605635947952214e-01,-6.004781752185327504e-01,-2.960472222954482202e-01,-3.710426194263291011e-01,-2.829679257793325520e-01
3.031065412128459632e-02,-4.501115494420331875e-01,-5.165905626441666953e-01,-4.385209948991829476e-01,-4.239082072004929924e-01,-4.894340798015006100e-01,-4.559778550332256319e-01,-5.476244423052771815e-01,-4.375504383767608862e-01,-4.410948915858025621e-01,-3.586581773406689044e-01
6.393440296887445418e-02,-6.101013296365390692e-01,4.057601206189685450e-01,-3.181875207187586097e-01,-1.240002500575352051e-01,2.937672628036309685e-01,-4.098892039624951571e-03,6.492195941999011621e-01,-7.114174930332191060e-01,7.524911615145218891e-02,-6.392867130952404331e-01
3.854167393428686861e-01,-5.730681580639798156e-01,-7.407749514704601301e-01,-5.963286362073345614e-01,-6.370384690870788402e-01,-6.586297592380830901e-01,-6.335417913026086811e-01,-8.143967240470010305e-01,-4.974128369376320524e-01,-6.489313279121159406e-01,-4.700491877654399686e-01
3.885070915948256598e-01,9.928336103795015397e-03,-2.823960856546051668e-01,-2.266197829679487685e-01,-8.963371407162243343e-02,-4.532279664849913070e-01,-1.910805396024662511e-02,-5.867591761145516394e-01,4.430412753047294205e-01,-6.370793055220118628e-01,1.690774365447220429e-01
-7.836449203782819284e-02,-3.363345980393857571e-01,-3.471234258650206517e-01,-3.242790331992929098e-01,-3.526655921934378490e-01,-3.355294981156492495e-01,-2.744934399341079079e-01,-3.642647162879856237e-01,-2.196993708465099227e-01,-3.147928737060253224e-01,-2.598353208085926180e-01
-5.468509115113436014e-02,-4.402308248730221196e-01,-4.163019903220960272e-01,-4.031296177571838113e-01,-4.223979861399950186e-01,-3.742911987554306541e-01,-4.544361271540974800e-01,-4.110079597388995865e-01,-4.071598336198281598e-01,-3.657557256417547364e-01,-4.367669879290159152e-01
-5.699861287933067899e-01,9.534790371698200762e-01,9.039129927721848423e-01,7.622161031216253546e-01,7.318083577535720030e-01,6.890061363052855103e-01,9.785685653126134920e-01,7.846145915367642720e-01,9.665213171681824589e-01,5.937726740494079225e-01,7.280003642214459836e-01
9.740410427568561846e-02,-3.704096362805884834e-01,-2.074454151730256712e-01,-3.259033215325312094e-01,-2.588761881487421923e-01,-3.036157973906518093e-01,-2.587545948365435611e-01,-2.444266408588627593e-01,-2.049874683928432639e-01,-4.132084385859829956e-01,-3.042838681409278379e-01
