hidden0,hidden1
0.000000000000000000e+00,7.303812544548041075e+00
6.838677446778828051e-01,-3.394587769771016283e+00
5.724756336530213430e-01,-3.215027401542984276e+00
5.930331034808457025e-01,-3.223619984169804109e+00
6.311293230330662363e-01,-3.325822567139848918e+00
5.475385910243285581e-01,-3.189116886998514921e+00
5.768003075232521759e-01,-3.241507286113072706e+00
6.315394098434519154e-01,-3.289889536753792143e+00
4.540204783243361186e-01,-3.039581973342517340e+00
6.073866547069405319e-01,-3.236895322672425301e+00
5.237943348547389188e-01,-3.150748778271133421e+00
